"","state_code",".model","RMSE","MAE","sMAPE"
"1","ACT","naive",1688.7062087314,1599.29995431112,12.6737961154758
"2","ACT","ols",2453.97938948151,2423.72200868984,19.9231711926146
"3","ACT","ar",7796.8858583671,7778.01136363636,82.2702378482765
"4","NSW","naive",23398.9353970658,22784.8376565601,12.0436816376295
"5","NSW","ols",32129.4964631729,31977.0177696078,17.3519611017755
"6","NSW","ar",108528.113576062,108397.371212121,74.3087429480991
"7","NT","naive",203.360196031987,175.052919546564,2.11880709836021
"8","NT","ols",1065.48293242863,1050.96866644385,13.5513043095257
"9","NT","ar",4740.58529687134,4737.30681818182,80.1956197810306
"10","QLD","naive",12572.6690613279,12512.8404716203,10.3590525985251
"11","QLD","ols",26616.7655480885,26598.2709725935,23.4012344230027
"12","QLD","ar",77012.551499971,77002.8068181818,87.0139711395581
"13","SA","naive",3979.45074234394,3835.43802582426,11.1570261118252
"14","SA","ols",5264.65799379765,5222.58518549466,15.5338684470023
"15","SA","ar",18594.6848948072,18564.3977272727,69.0299014920002
"16","TAS","naive",879.232768256583,825.221617430782,8.33005418144904
"17","TAS","ols",1589.78060957109,1575.84001782531,16.590481322479
"18","TAS","ar",5422.56718132283,5414.07196969697,71.5724807794485
"19","VIC","naive",16643.6997862752,16076.1978109484,11.4995411997385
"20","VIC","ols",22567.6939322831,22415.8531082888,16.4385306305234
"21","VIC","ar",80805.6035767913,80690.625,75.3998331961977
"22","WA","naive",11468.691596351,11258.2772826283,10.4927687592135
"23","WA","ols",27876.8215416629,27833.5163352273,28.1625577817107
"24","WA","ar",73812.6391128134,73780.2386363636,97.2733876709119
